City,Population
Sujiatun,148.113
Honggang,147.977
Qujing,146.015
Hanzhong,145.986
Xinji,145.911
Taishan,145.440
Sanya,144.753
Acheng,144.665
Jinchang,144.363
Meizhou,144.212
Jinhua,142.206
Jieshou,141.993
Gongzhuling,140.909
Shanhaiguan,140.000
Altay,139.341
Huadian,139.047
Fuyu,138.704
Chaohu,138.463
Jieshi,137.444
Jiashan,137.112
Hami,137.072
Shizuishan,136.570
Gejiu,136.135
Jiagedaqi,135.760
Shiqiao,135.308
Dali,134.040
Puqi,132.891
Ankang,132.654
Zhalantun,132.224
Dawukou,131.880
Majie,131.696
Hepo,131.238
Dazhou,130.749
Shuangcheng,130.710
Dongyang,130.387
Jiazi,130.298
Songjiang,130.218
Shangri-La,130.000
Wuda,129.922
Leiyang,129.116
Xuanzhou,127.758
Huaihua,127.322
Jiangyou,127.225
Xichang,126.787
Danshui,126.701
Macheng,126.366
Huicheng,125.919
Xiazhen,125.667
Haimen,125.427
Shahecheng,125.132
Suining,124.924
Yushu,124.736
Lecheng,124.268
Laiwu,124.108
Jiupu,123.843
Baoshan,123.791
Luoyang,123.144
Minzhu,123.018
Huangzhou,122.563
Xiulin,122.411
Zhoucun,122.402
Jiayuguan,122.396
Lianhe,121.367
Xilin Hot,120.965
Fengcheng,120.514
Zhaoyuan,120.000
Lhasa,118.721
Puning,118.023
Shunyi,117.623
Longjing,117.185
Qingzhou,117.056
Dasha,116.307
Yakeshi,116.284
Binzhou,115.893
Lengshuijiang,115.399
Tianfu,115.370
Wenchang,115.000
Mingshui,114.858
Yuyao,114.177
Hotan,114.000
Pingshan,113.631
Songyuan,113.611
Maba,113.609
Guangming,112.819
Haikou,112.644
Shaowu,112.585
Kaiyuan,112.462
Beibei,112.019
Dongtai,110.988
Encheng,110.921
Zhuji,110.721
Qingnian,110.046
Mizhou,109.968
Linshui,109.955
Hailun,109.881
Shilong,109.733
Tieli,109.636
Dongxing,109.561
