City,Population
Vidisha,140.045
Haldwani,139.497
Habra,139.297
Kumbakonam,139.264
Porbandar,138.872
Chitradurga,138.587
Thanesar,138.279
Tiruvannamalai,138.243
Anand,138.009
Kanchrapara,136.954
Mahbubnagar,136.135
Dimapur,135.860
Robertsonpet,135.218
Chhindwara,134.847
Mandya,134.845
Bankura,133.966
Hajipur,133.606
Gonda City,133.583
Bhuj,133.459
Hindupur,133.298
Shillong,132.842
Palghat,132.728
Godhra,131.913
Kishangarh,131.749
Raniganj,131.261
Pilibhit,131.008
Beawar,130.777
Abohar,130.603
Moga,130.549
Dehri,129.938
Deoria,129.570
Hassan,128.531
Khardah,128.346
Yavatmal,128.175
Halisahar,128.172
Panvel,128.046
Titagarh,127.751
Cuddapah,127.010
Bettiah,127.008
Hathras,126.882
Lalitpur,126.475
Kolar,126.441
Mandsaur,124.988
Gondia,124.897
Rajapalaiyam,124.168
Darjiling,123.797
Mohali,123.484
Palanpur,123.294
Dam Dam,122.719
Hardoi,122.635
Puruliya,122.533
Dibrugarh,122.155
Palwal,121.965
Nalgonda,121.826
Bhadreswar,121.662
Vejalpur,121.610
Chikmagalur,121.484
Raigarh,121.278
Guntakal Junction,120.964
Gangapur,120.115
Deoli,120.000
Siwan,119.181
Damoh,118.776
Adilabad,118.526
Chicacole,118.299
Uppal Kalan,118.259
Jetpur,118.068
Morbi,118.022
Patan,117.863
Khanna,117.137
Botad,117.053
Rishra,117.014
Azamgarh,116.644
Yelahanka,116.447
Gudivada,116.161
Baidyabati,115.504
Basti,115.115
Balasore,114.321
Dharmavaram,114.050
Maler Kotla,113.840
Wardha,113.759
Jhunjhunun,113.193
Satara,112.793
Chanduasi,112.635
Mothihari,112.144
Chas,112.141
Pudukkottai,112.118
Rewari,112.079
Port Blair,112.050
Suriapet,111.729
Bangaon,111.693
Chhatarpur,111.594
Ashoknagar Kalyangarh,111.475
Achalpur,111.278
Navadwip,111.123
Barsi,110.983
