City,Population
Puerto Salgar,9.863
Gigante,9.829
Olaya Herrera,9.820
Moniquira,9.785
Amalfi,9.733
Planadas,9.709
Manaure,9.703
Chinacota,9.667
Vegachi,9.618
Zambrano,9.565
Restrepo,9.545
Curillo,9.539
San Agustin,9.481
Galeras,9.459
Sibundoy,9.458
Aranzazu,9.327
Concordia,9.324
Cajamarca,9.309
Saldana,9.237
Riofrio,9.236
Mahates,9.224
Calamar,9.180
Usiacuri,9.146
Alcala,9.135
Puerto Leguizamo,9.098
San Juan de Betulia,9.092
Pueblo Nuevo,9.075
Villa Rica,9.070
Guamal,9.016
Becerril,9.002
Astrea,8.995
San Bernardo del Viento,8.967
Fredonia,8.950
Lebrija,8.949
Santa Rosa del Sur,8.904
San Pedro,8.801
Clemencia,8.775
La Cruz,8.751
Juan de Acosta,8.655
Frontino,8.603
Urumita,8.509
San Antonio,8.476
Achi,8.434
Sopo,8.396
Arboletes,8.380
Yotoco,8.362
La Union,8.361
Remolino,8.308
Tolu Viejo,8.260
Silvania,8.237
Pacora,8.218
Cisneros,8.204
Timana,8.203
Tubara,8.180
Pensilvania,8.173
Soplaviento,8.067
Rivera,8.044
San Diego,8.014
Muzo,7.977
Aipe,7.964
Caqueza,7.958
Manaure Balcon del Cesar,7.953
El Dovio,7.942
Retiro,7.941
Sardinata,7.872
Palestina,7.865
Monterrey,7.759
Jerico,7.750
Jardin,7.747
San Carlos,7.742
Cicuco,7.662
Barbacoas,7.633
El Paujil,7.618
Cota,7.615
Choconta,7.592
Cartagena del Chaira,7.586
Cumbal,7.529
Uribia,7.519
Yondo,7.516
Restrepo,7.511
El Pinon,7.481
Silvia,7.474
Abejorral,7.360
Gamarra,7.327
Inirida,7.298
Obando,7.298
El Tambo,7.279
San Rafael,7.245
La Dorada,7.185
